id,date,sentence,growth_sentiment_1,employment_sentimen_1,inflation_sentiment_1,Sandro,Ziwei
10882,2011/5/18,"Liquid deposits, the largest component of M2, advanced at a solid pace likely reflecting very low opportunity costs of holding such deposits.",neutral,neutral,neutral,,positive
10883,2012/1/3,"In assessing the economic outlook, participants judged that strains in global financial markets continued to pose significant downside risks.",negative,neutral,neutral,,negative
10884,2012/7/11,"Some participants, however, saw persistent slack in resource utilization as weighting the risks to the outlook for inflation to the downside.",neutral,neutral,negative,,negative
10885,2012/10/4,"The share of workers employed part time for economic reasons remained large, and the rate of long-duration unemployment continued to be high.",neutral,negative,neutral,,negative
10886,2012/11/14,The expected path of the federal funds rate based on money market futures was little changed between the September and October FOMC meetings.,neutral,neutral,neutral,,neutral
10887,2013/4/10,"Real federal government purchases appeared to decrease further in January and February, as defense spending continued to contract on balance.",negative,neutral,neutral,,negative
10888,2013/4/10,"The staff also reported on potential risks to financial stability, including those associated with the current low interest rate environment.",negative,neutral,neutral,,negative
10889,2013/4/10,"As a result, vigilance on the part of policymakers and regulators was warranted, especially in light of episodic strains in European markets.",negative,neutral,neutral,,negative
10890,2013/4/10,A range of views was expressed regarding the economic and labor market conditions that would call for an adjustment in the pace of purchases.,neutral,neutral,neutral,,neutral
10891,2013/7/10,"In Japan, where recent policy measures appeared to have boosted household confidence, economic growth picked up noticeably early in the year.",positive,neutral,neutral,,positive
10892,2013/7/10,The rise in longer-term Treasury yields appeared to reflect both an increase in term premiums and a rise in expected future short-term rates.,neutral,neutral,neutral,,neutral
10893,2013/7/10,"However, some others commented that any adverse effects of the increase in rates on financial conditions more broadly appeared to be limited.",positive,neutral,neutral,,positive
10894,2013/10/9,"In the view of one member, the progress to date in labor markets and in broader economic conditions amply supported a reduction in purchases.",positive,positive,neutral,,negative
10895,2014/1/8,"Year-to-date issuance of commercial mortgage-backed securities (CMBS) remained strong, but far below levels seen before the financial crisis.",positive,positive,neutral,,negative
10896,2014/1/8,"Labor market conditions had improved in recent months, with monthly gains in payroll employment of more than 200,000 in October and November.",neutral,positive,neutral,,positive
10897,2014/2/19,B. Maintain reciprocal currency arrangements with foreign central banks in accordance with the Authorization for Foreign Currency Operations.,neutral,neutral,neutral,,neutral
10898,2014/2/19,"It was also noted that recent developments in several emerging market economies, if they continued, could pose downside risks to the outlook.",negative,neutral,neutral,,negative
10899,2014/4/9,Imports also rose in January as the increase in the volume of oil imports more than offset declines in imports of non-oil goods and services.,positive,neutral,neutral,,positive
10900,2014/5/21,Contacts in several Districts pointed to plans for increasing capital expenditures or to stronger demand for commercial and industrial loans.,positive,neutral,neutral,,positive
10901,2014/7/9,"Mortgage credit conditions generally remained tight, though further incremental signs of easing emerged amid continued gains in house prices.",positive,neutral,neutral,,negative
10902,2014/10/8,Starts and permits of both new single-family homes and multifamily units were higher in July than their average levels in the second quarter.,positive,neutral,neutral,,positive
10903,2014/11/19,"In the leveraged loan market, institutional issuance slowed some in September, though investors' interest in the asset class remained strong.",negative,neutral,neutral,,negative
10904,2014/11/19,"Household spending was rising moderately and business fixed investment was advancing, while the recovery in the housing sector remained slow.",positive,neutral,neutral,,positive
10905,2014/11/19,"Conversely, if progress proves slower than expected, then increases in the target range are likely to occur later than currently anticipated.",neutral,neutral,neutral,,neutral
10906,2015/1/7,"Conversely, if progress proves slower than expected, then increases in the target range are likely to occur later than currently anticipated.",neutral,neutral,neutral,,neutral
10907,2015/2/18,B. Maintain reciprocal currency arrangements with foreign central banks in accordance with the Authorization for Foreign Currency Operations.,neutral,neutral,neutral,,neutral
10908,2015/2/18,"Credit flows to nonfinancial firms generally remained strong through the last quarter of 2014, though they slowed somewhat for riskier firms.",positive,neutral,neutral,,positive
10909,2015/2/18,"Conversely, if progress proves slower than expected, then increases in the target range are likely to occur later than currently anticipated.",neutral,neutral,neutral,,neutral
10910,2015/4/8,Market-based measures of inflation compensation remain low; survey-based measures of longer-term inflation expectations have remained stable.,neutral,neutral,positive,,neutral
10911,2015/5/20,"Real personal consumption expenditures (PCE) increased in the first quarter, albeit at a much slower pace than in the fourth quarter of 2014.",positive,neutral,neutral,,positive
10912,2015/5/20,Market-based measures of inflation compensation remain low; survey-based measures of longer-term inflation expectations have remained stable.,neutral,neutral,positive,,positive
10913,2015/7/8,Market-based measures of inflation compensation remain low; survey-based measures of longer-term inflation expectations have remained stable.,neutral,neutral,positive,,positive
10914,2015/8/19,The foreign exchange value of the U.S. dollar increased during the intermeeting period against the currencies of major U.S. trading partners.,neutral,neutral,positive,,neutral
10915,2015/8/19,Market-based measures of inflation compensation remain low; survey-based measures of longer-term inflation expectations have remained stable.,neutral,neutral,positive,,positive
10916,2015/11/18,"The rate of private-sector job openings declined in August but was still at a high level, while the rates of hiring and quits were unchanged.",neutral,neutral,neutral,,neutral
10917,2015/11/18,"But this decline was balanced by subsequent appreciation, in part as expectations increased for greater monetary policy accommodation abroad.",neutral,neutral,neutral,,negative
10918,2016/1/6,Market-based measures of inflation compensation remain low; some survey-based measures of longer-term inflation expectations have edged down.,neutral,neutral,positive,,negative
10919,2016/2/17,B. Maintain reciprocal currency arrangements with foreign central banks in accordance with the Authorization for Foreign Currency Operations.,neutral,neutral,neutral,,neutral
10920,2016/2/17,"In many foreign economies, real GDP growth in the fourth quarter appeared to continue at a pace roughly similar to that in the third quarter.",positive,neutral,neutral,,neutral
10921,2016/4/6,"Spreads on commercial mortgage-backed securities (CMBS) continued to widen, on net, despite the narrowing of spreads in broader bond markets.",neutral,neutral,neutral,,negative
10922,2016/5/18,"A number of factors likely contributed to the improvement, including expectations of more accommodative monetary policy in the United States.",positive,neutral,neutral,,positive
10923,2016/7/6,"The U.S. international trade deficit narrowed substantially in March, with a sharp decline in imports more than offsetting a fall in exports.",negative,neutral,neutral,,negative
10924,2016/7/6,"Foreign real GDP growth picked up in the first quarter, supported by relatively robust increases in Canada, the euro area, Japan, and Mexico.",positive,neutral,neutral,,positive
10925,2016/7/6,Spreads of 10-year triple-B-rated corporate bond yields over those on comparable-maturity Treasury securities were little changed on balance.,neutral,neutral,neutral,,neutral
10926,2016/8/17,"The sharp rebound in payroll employment gains put the average monthly increase in jobs over the three months ending in June at about 150,000.",neutral,positive,neutral,,positive
10927,2016/8/17,Members saw developments during the intermeeting period as reducing near-term uncertainty along two dimensions discussed at the June meeting.,positive,neutral,neutral,,positive
10928,2016/8/17,"However, members emphasized that the actual path of the federal funds rate would depend on the economic outlook as informed by incoming data.",neutral,neutral,neutral,,neutral
10929,2016/10/12,Managing balances in various time and other deposit accounts at foreign institutions approved by the Board of Governors under Regulation N.C.,neutral,neutral,neutral,,neutral
10930,2016/10/12,"While outstanding commercial and industrial loans and CP both declined somewhat in August, gross issuance of corporate bonds was quite large.",neutral,neutral,neutral,,neutral
10931,2016/10/12,"However, members emphasized that the actual path of the federal funds rate would depend on the economic outlook as informed by incoming data.",neutral,neutral,neutral,,neutral
10932,2016/11/23,"However, members emphasized that the actual path of the federal funds rate would depend on the economic outlook as informed by incoming data.",neutral,neutral,neutral,,neutral
10933,2017/1/4,Market expectations for an increase in the target range for the federal funds rate at the December meeting rose over the intermeeting period.,neutral,neutral,neutral,,neutral
10934,2017/1/4,"However, members emphasized that the actual path of the federal funds rate would depend on the economic outlook as informed by incoming data.",neutral,neutral,neutral,,neutral
10935,2017/2/22,Managing balances in various time and other deposit accounts at foreign institutions approved by the Board of Governors under Regulation N.C.,neutral,neutral,neutral,,neutral
10936,2017/2/22,"Market participants continued to report substantial uncertainty about potential changes in fiscal, regulatory, and other government policies.",negative,neutral,neutral,,negative
10937,2017/2/22,"Domestic financial conditions were mostly little changed, on balance, since the December FOMC meeting.",neutral,neutral,neutral,,neutral
10938,2017/4/5,"Mining output expanded further following a large gain in the fourth quarter, and manufacturing production continued to rise at a modest pace.",positive,neutral,neutral,,positive
10939,2017/5/24,"Members agreed that the federal funds rate was likely to remain, for some time, below levels that they expected to prevail in the longer run.",neutral,neutral,neutral,,negative
10940,2017/7/5,"The rate of private-sector job openings increased in March and April, while the quits rate was little changed and the hiring rate moved down.",neutral,negative,neutral,,negative
10941,2017/10/11,And many business contacts in the affected areas reported that they expected their operations to return to normal before the end of the year.,positive,neutral,neutral,,neutral
10942,2018/2/21,Managing balances in various time and other deposit accounts at foreign institutions approved by the Board of Governors under Regulation N.C.,neutral,neutral,neutral,,neutral
10943,2018/2/21,"In the advanced foreign economies (AFEs), real GDP in the euro area and the United Kingdom expanded at a moderate pace in the fourth quarter.",positive,neutral,neutral,,positive
10944,2018/4/11,"In emerging market economies (EMEs), sovereign yield spreads widened modestly, and flows into EME mutual funds were volatile over the period.",negative,neutral,neutral,,negative
10945,2018/5/23,Members agreed that inflation on a 12-month basis is expected to run near the Committee's symmetric 2 percent objective over the medium term.,neutral,neutral,positive,,neutral
10946,2018/5/23,"Members agreed that the federal funds rate was likely to remain, for some time, below levels that they expected to prevail in the longer run.",neutral,neutral,positive,,negative
10947,2018/8/22,Real GDP was forecast to increase in the second half of this year at a pace that was just a little slower than in the first half of the year.,positive,neutral,neutral,,negative
10948,2018/10/17,"Turkey and Argentina experienced significant stress, and other countries with similar macroeconomic vulnerabilities also came under pressure.",negative,neutral,neutral,,negative
10949,2018/11/29,Many participants noted that the recent pace of aggregate wage gains was broadly consistent with trends in productivity growth and inflation.,positive,positive,negative,,neutral
10950,2019/2/20,Managing balances in various time and other deposit accounts at foreign institutions approved by the Board of Governors under Regulation N.C.,neutral,neutral,neutral,,neutral
10951,2019/2/20,Data on nominal business expenditures for nonresidential structures outside of the drilling and mining sector in November were not available.,neutral,neutral,neutral,,neutral
10952,2019/2/20,Staff continued to monitor developments in the leveraged loan market given the sharp rise in spreads and slowdown in issuance late last year.,negative,neutral,neutral,,neutral
10953,2019/4/10,Financing conditions in consumer credit markets were little changed in recent months and remained generally supportive of household spending.,positive,neutral,neutral,,positive
10954,2019/4/10,Economy-wide wage growth was seen as being broadly consistent with recent rates of labor productivity growth and with inflation of 2 percent.,neutral,positive,positive,,neutral
10955,2019/5/22,"According to the April SLOOS, commercial banks left lending standards for auto loans and other consumer loans unchanged in the first quarter.",neutral,neutral,neutral,,neutral
10956,2019/7/10,Participants widely noted that the global developments that led to the heightened uncertainties about the economic outlook were quite recent.,negative,neutral,neutral,,negative
10957,2019/8/21,"In consumer credit markets, financing conditions were little changed in recent months and remained generally supportive of consumer spending.",positive,neutral,neutral,,positive
10958,2019/8/21,"Some participants observed that trade uncertainties had receded somewhat, especially with the easing of trade tensions with Mexico and China.",positive,neutral,neutral,,positive
10959,2019/8/21,The strong June employment report suggested that the weak May payroll figures were not a precursor to a more material slowdown in job growth.,neutral,positive,neutral,,negative
10960,2019/11/20,The four-week moving average of initial claims for unemployment insurance benefits through mid-October remained near historically low levels.,neutral,positive,neutral,,negative
10961,2020/1/3,"The average pace of job gains over the three months ending in November, which is unaffected by the strike, was stronger than earlier in 2019.",neutral,positive,neutral,,positive
10962,2020/2/19,Managing balances in various time and other deposit accounts at foreign institutions approved by the Board of Governors under Regulation N.C.,neutral,neutral,neutral,,neutral
10963,2020/2/19,"In addition, these tools are not within the authority of the Committee, and their use requires coordination with other prudential regulators.",neutral,neutral,neutral,,neutral
10964,2020/2/19,The four-week moving average of initial claims for unemployment insurance benefits through mid-January remained near historically low levels.,neutral,positive,neutral,,negative
10965,2020/2/19,The trimmed mean measure of 12-month PCE price inflation constructed by the Federal Reserve Bank of Dallas remained at 2 percent in November.,neutral,neutral,positive,,neutral
10966,2020/5/20,"Nominal wage growth remained moderate, as average hourly earnings for all employees increased 3.1 percent over the 12 months ending in March.",neutral,positive,neutral,,positive
10967,2020/8/19,"The EFFR fluctuated between 8 and 10 basis points, and the SOFR fluctuated between 7 and 13 basis points, throughout the intermeeting period.",neutral,neutral,neutral,,neutral
10968,2020/8/19,"Financing conditions for commercial real estate (CRE), particularly those in capital markets, recovered further over the intermeeting period.",positive,neutral,neutral,,positive
10969,2020/8/19,"In contrast, conditions in the auto loan market appeared to be little changed, on balance, with those for subprime borrowers remaining tight.",negative,neutral,neutral,,negative
10970,2020/8/19,"In addition, participants noted that it was appropriate that the Desk would continue to offer large-scale overnight and term repo operations.",neutral,neutral,neutral,,neutral
10971,2020/10/7,"The pound was little changed, as some of its earlier appreciation against the dollar unwound amid a resurgence of Brexit-related uncertainty.",neutral,neutral,neutral,,neutral
10972,2020/10/7,"In particular, participants reiterated their commitment to achieve maximum employment and an inflation rate of 2 percent over the longer run.",neutral,neutral,neutral,,neutral
10973,2021/2/17,Managing balances in various time and other deposit accounts at foreign institutions approved by the Board of Governors under Regulation N.C.,neutral,neutral,neutral,,neutral
10974,2021/2/17,"Progress on vaccinations had been slower than expected, and the near-term trajectory of the pandemic worsened, weighing on economic activity.",negative,neutral,neutral,,negative
10975,2021/2/17,"Interest rates on new credit card offers for nonprime borrowers stayed elevated, and financing conditions remained tight for those borrowers.",negative,neutral,neutral,,negative
10976,2021/4/7,"Members also remarked that the path of the economy would depend significantly on the course of the virus, including progress on vaccinations.",neutral,neutral,neutral,,neutral
10977,2021/5/19,"One-month option-implied volatility on the S&P 500 and the VIX declined, approaching the median level observed in the decade before the pandemic.",positive,neutral,neutral,,neutral
10978,2021/5/19,"Members also remarked that the path of the economy would depend significantly on the course of the virus, including progress on vaccinations.",neutral,neutral,neutral,,neutral
10979,2021/7/7,Participants agreed that they would continue their discussion of design parameters for both a domestic SRF and a standing FIMA repo facility.,neutral,neutral,neutral,,neutral
10980,2021/7/7,A number of participants noted that the labor market recovery continued to be uneven across demographic and income groups and across sectors.,neutral,positive,neutral,,negative
10981,2021/8/18,The July SLOOS also indicated that the level of standards on C&I loans returned to the easier end of the range that had prevailed since 2005.,positive,neutral,neutral,,neutral
10982,2021/8/18,"In addition, the accumulated stock of savings and further progress on vaccination were cited as important factors lifting household spending.",positive,neutral,neutral,,positive
10983,2021/8/18,Some other participants emphasized that recent high inflation readings had largely been driven by price increases in a handful of categories.,neutral,neutral,negative,,neutral
10984,2021/8/18,"They also agreed to remove the word ""significantly"" when characterizing the dependence of the path of the economy on the course of the virus.",neutral,neutral,neutral,,neutral
10985,2021/10/13,These impairments were concentrated in the retirement and assisted living sector and represent a very small fraction of the municipal market.,neutral,neutral,neutral,,neutral
10986,2021/10/13,"The sectors most adversely affected by the pandemic have improved in recent months, but the rise in COVID-19 cases has slowed their recovery.",neutral,neutral,neutral,,negative
10987,2021/11/24,"Although real state and local purchases increased, the gain was largely offset by declines in both federal defense and nondefense purchases.",neutral,neutral,neutral,,neutral
10988,2022/2/16,Managing balances in various time and other deposit accounts at foreign institutions approved by the Board of Governors under Regulation N.C.,neutral,neutral,neutral,,neutral
10989,2022/4/6,Some other participants noted that monthly caps for Treasury securities should take into consideration potential risks to market functioning.,neutral,neutral,neutral,,neutral
10990,2022/7/6,Most major foreign central banks were proceeding on a path of removing policy accommodation in order to address elevated levels of inflation.,neutral,neutral,negative,,neutral
10991,2022/7/6,"Japanese yields and equity prices, however, ended the period about unchanged, as the BOJ reaffirmed its accommodative monetary policy stance.",neutral,neutral,neutral,,neutral
10992,2022/8/17,The deputy manager turned first to a discussion of financial market developments.,neutral,neutral,neutral,,neutral
10993,2022/8/17,The 75 basis point increase in the target range at the June meeting passed through fully to the federal funds rate and other overnight rates.,neutral,neutral,neutral,,neutral
10994,2022/10/12,Credit availability for low-credit-score borrowers continued to ease through July but remained modestly tight and close to pre-pandemic averages.,neutral,neutral,neutral,,neutral
10995,2023/2/22,Equity prices fell sharply following the December FOMC statement but recovered over the remainder of the period in response to data releases.,neutral,neutral,neutral,,neutral
10996,2006/1/3,"New home sales reached a new high in October, and existing home sales eased off only a little from the high levels recorded during the summer.",positive,neutral,neutral,,positive
10997,2006/5/31,"Ongoing increases in home prices and additional gains in the stock market, however, further boosted household wealth during the first quarter.",positive,neutral,neutral,,positive
10998,2006/5/31,Real outlays for equipment and software surged in the first quarter after a relatively subdued performance in the fourth quarter of last year.,positive,neutral,neutral,,positive
10999,2006/5/31,"At its March meeting, the Federal Open Market Committee decided to raise its target for the federal funds rate 25 basis points, to 4.75 percent.",neutral,neutral,neutral,,neutral
11000,2006/5/31,That cooling was especially noticeable for high-end homes and for houses in markets that previously had experienced the steepest appreciation.,negative,neutral,neutral,,negative
11001,2006/5/31,"While the precise reasons for the increase in federal receipts were not entirely clear, robust income growth was probably an important factor.",neutral,positive,neutral,,positive
11002,2006/11/15,"At its September meeting, the Federal Open Market Committee (FOMC) decided to maintain its target for the federal funds rate at 5-1/4 percent.",neutral,neutral,neutral,,neutral
11003,2007/10/9,"Meanwhile, banks took measures to conserve their liquidity and were cautious about counterparties' exposures to asset-backed commercial paper.",negative,neutral,neutral,,negative
11004,2007/10/9,"Although it decelerated in the third quarter, business-sector debt continued to advance at a solid pace, boosted by a surge in business loans.",positive,neutral,neutral,,positive
11005,2007/10/9,"Inflation expectations seemed to be contained, and the less robust economic outlook implied somewhat less pressure on resources going forward.",negative,neutral,positive,,negative
11006,2008/1/2,"Small time deposits continued to expand, likely in part due to high rates offered by some depository institutions to attract retail deposits.",neutral,neutral,neutral,,positive
11007,2008/1/2,"In the forecast prepared for this meeting, the staff revised down its estimate of growth in aggregate economic activity in the fourth quarter.",negative,neutral,neutral,,negative
11008,2008/2/20,Any swap drawing proposed by a foreign bank exceeding the larger of (i) $200 million or (ii) 15 percent of the size of the swap arrangement.3.,neutral,neutral,neutral,,neutral
11009,2008/2/20,"On average, private nonfarm payroll employment in November and December rose at only about half of the average pace seen from July to October.",neutral,positive,neutral,,neutral
11010,2008/2/20,"Moreover, a leveling-off of energy and commodity prices such as that embedded in futures markets would also help moderate inflation pressures.",neutral,neutral,positive,,positive
11011,2008/2/20,The available information suggested that the downside risks to growth had increased significantly since the time of the December FOMC meeting.,negative,neutral,neutral,,negative
11012,2008/4/8,"Also, the continued fall in home prices and declines in equity prices were weighing on household wealth, with a depressing effect on spending.",negative,neutral,neutral,,negative
11013,2009/1/6,"Conditions in short-term funding markets remained strained for most of the intermeeting period, though some signs of improvement were evident.",neutral,neutral,neutral,,negative
11014,2009/2/18,Any swap drawing proposed by a foreign bank exceeding the larger of (i) $200 million or (ii) 15 percent of the size of the swap arrangement.3.,neutral,neutral,neutral,,neutral
11015,2009/2/18,Secondary market prices for leveraged loans stayed near record lows and the average bid-asked spread in that market continued to be very wide.,negative,neutral,neutral,,neutral
11016,2009/2/18,All other members indicated that they thought it appropriate to continue the program of purchasing agency debt and mortgage-backed securities.,neutral,neutral,neutral,,neutral
11017,2009/5/20,"Orders and shipments of nondefense capital goods excluding aircraft fell in March, turning negative again after having been flat in February.",negative,neutral,neutral,,negative
11018,2009/7/15,The analysis also suggested that the market value of the Federal Reserve's securities holdings could decline appreciably under some scenarios.,negative,neutral,neutral,,negative
11019,2009/7/15,"Meanwhile, the federal government issued large amounts of debt, and state and local government debt was estimated to have expanded moderately.",neutral,neutral,neutral,,positive
11020,2009/9/2,The moderation in the pace of decline in industrial production in the second quarter was widespread across industries and major market groups.,negative,neutral,neutral,,negative
11021,2009/9/2,"Indicators of Treasury market functioning were little changed over the intermeeting period, and functioning continued to be somewhat impaired.",neutral,neutral,neutral,,negative
11022,2009/11/24,"Credit default swap spreads for large bank holding companies were about flat, but they widened for regional and smaller banking organizations.",neutral,neutral,neutral,,neutral
11023,2010/4/6,"Banks' securities holdings declined at a modest pace after several months of steady growth, and total loans on banks' books continued to drop.",negative,neutral,neutral,,negative
11024,2010/5/19,"Inventories appeared to approach comfortable levels relative to sales in the aggregate, although inventory positions across industries varied.",positive,neutral,neutral,,neutral
11025,2010/5/19,Survey measures of long-term inflation expectations were fairly stable in recent months at levels slightly lower than those posted a year ago.,neutral,neutral,positive,,negative
11026,2010/7/14,"The core consumer price index rose only slightly over the period, and the year-over-year change in the index was lower than earlier this year.",neutral,neutral,positive,,negative
11027,2010/7/14,This retreat led to a broad appreciation of the dollar as well as declines in equity prices abroad and in yields on benchmark sovereign bonds.,negative,neutral,positive,,negative
11028,2010/10/12,A few participants noted that economic recoveries were often uneven and were typically slow following downturns triggered by financial crises.,negative,neutral,neutral,,negative
11029,2011/1/4,"In the third quarter, the modest rise in hourly compensation in the nonfarm business sector was matched by a similar increase in productivity.",neutral,neutral,neutral,,positive
11030,2011/1/4,The advanced foreign economies (AFEs) also saw a slower rise in real economic activity in the third quarter than occurred earlier in the year.,negative,neutral,neutral,,negative
11031,2011/2/16,Much of the fourth-quarter downswing was likely associated with a drawdown of motor vehicle stocks after an accumulation in the third quarter.,negative,neutral,neutral,,negative
11032,2011/4/5,"Moreover, a number of participants expected that slack in resource utilization would continue to restrain increases in labor costs and prices.",neutral,neutral,positive,,negative
11033,2011/4/5,"Several of them indicated, in light of recent developments, that the risks to their forecasts of inflation had shifted somewhat to the upside.",neutral,neutral,negative,,neutral
11034,2011/8/30,"Real federal purchases turned up in the second quarter, as defense expenditures rebounded after declining noticeably in the preceding quarter.",positive,neutral,neutral,,positive
11035,2011/10/12,"Core commercial bank loans--the sum of commercial and industrial (C&I), real estate, and consumer loans--expanded slightly in July and August.",positive,neutral,neutral,,positive
11036,2011/10/12,"In addition, retail investors evidently placed redemptions from equity and bond mutual funds into bank deposits and retail money market funds.",negative,neutral,neutral,,neutral
11037,2011/10/12,"Surveys suggested that households were pessimistic about their future incomes, and consumer confidence had dropped to historically low levels.",negative,neutral,neutral,,negative
