sentence,label,score,sentence_simple,focus_ornot,label_new,score_new
"Although hurricane-related rebuilding would boost activity, especially in the near term, this stimulus increasingly would be countered by higher interest rates, the anticipated waning of the positive wealth effect associated with large earlier gains in equity and house prices, and reduced impetus from fiscal policy.",Positive,0.593082964,"especially in the near term, this stimulus increasingly would be countered by higher interest rates, the anticipated waning of the positive wealth effect associated with large earlier gains in equity and house prices, and reduced impetus from fiscal policy.",1,Negative,0.998139501
"Both overall and core consumer price inflation were projected to move higher in the first half of next year, reflecting the effects of higher energy prices, but then to trend lower as those effects ebb.",Neutral,0.749818385,then to trend lower as those effects ebb.,1,Neutral,0.583923697
"While inflation and long-term inflation expectations remained contained, the Committee agreed that the announcement should indicate that possible increases in resource utilization, as well as elevated energy prices, had the potential to add to inflation pressures and that ""some further measured policy firming is likely to be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance.""",Neutral,0.809335053,"the Committee agreed that the announcement should indicate that possible increases in resource utilization, as well as elevated energy prices had the potential to add to inflation pressures and that ""some further measured policy firming is likely to be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance.""",1,Neutral,0.509156704
"Although future action would depend on the incoming data, this characterization of the outlook for policy was seen by most members as indicating that, given the information now in hand, the number of additional firming steps required probably would not be large.",Neutral,0.999803007,"this characterization of the outlook for policy was seen by most members as indicating that, given the information now in hand, the number of additional firming steps required probably would not be large.",1,Neutral,0.999688506
"Some members thought that the word ""measured"" was no longer necessary, but its retention for this meeting was seen as potentially useful to preclude a possible misinterpretation that the Committee now saw a significant possibility of adjusting policy in larger increments in the near future.",Neutral,0.956000268,its retention for this meeting was seen as potentially useful to preclude a possible misinterpretation that the Committee now saw a significant possibility of adjusting policy in larger increments in the near future.,1,Neutral,0.802924454
"Wording of the announcement along these lines was not expected to have a substantial effect on market expectations for policy, though such effects were especially difficult to judge given the extensive changes being made to the statement.",Neutral,0.996999264,Wording of the announcement along these lines was not expected to have a substantial effect on market expectations for policy,1,Neutral,0.999944329
"The information reviewed at this meeting suggested that underlying growth in aggregate demand remained solid, even though the expansion of real GDP was estimated to have slowed in the fourth quarter.",Positive,1,The information reviewed at this meeting suggested that underlying growth in aggregate demand remained solid,1,Positive,1
"Housing markets showed some signs of cooling, but starts and sales remained at high levels.",Negative,0.95805186,starts and sales remained at high levels.,1,Positive,0.994191945
"Several sectors, including manufacturing and several service groups, added vigorously to payrolls in December, but the total for the month was held down by employment declines in a number of sectors, such as retail trade and construction, where seasonal adjustment can be difficult this time of year.",Negative,0.999946833,"the total for the month was held down by employment declines in a number of sectors, such as retail trade and construction, where seasonal adjustment can be difficult this time of year.",1,Negative,0.999971509
"Aggregate hours fell slightly in December owing to a decrease in the workweek, but they rose over the fourth quarter as a whole.",Negative,0.99880898,they rose over the fourth quarter as a whole.,1,Positive,0.832790732
"Activity in the housing market appeared to continue at high levels, although there were some indications of slowing.",Negative,0.997695625,Activity in the housing market appeared to continue at high levels,1,Positive,0.415509492
Sales of new and existing homes remained at elevated levels but slowed somewhat toward the end of the year.,Negative,0.999822915,slowed somewhat toward the end of the year.,1,Negative,0.992514074
"Core PCE inflation was expected to be a touch higher this year than in 2005, largely because of the pass-through of higher energy and nonfuel import prices, but, with energy prices leveling out, core inflation was projected to drop back modestly in 2007.In their discussion of the economic situation and outlook, meeting participants noted the slowing in GDP growth in the fourth quarter of 2005, but believed that it probably owed in large part to transitory factors and that economic growth would bounce back in the current quarter.",Negative,0.996241689,", with energy prices leveling out, core inflation was projected to drop back modestly in 2007.In their discussion of the economic situation and outlook, meeting participants noted the slowing in GDP growth in the fourth quarter of 2005, but believed that it probably owed in large part to transitory factors and that economic growth would bounce back in the current quarter.",1,Negative,0.99969399
"Although heightened inflation pressures could also arise from possible increases in resource utilization, the outlook for economic growth and the stability of inflation expectations suggested that core inflation should remain contained over time.",Neutral,0.506352544,the outlook for economic growth and the stability of inflation expectations suggested that core inflation should remain contained over time.,1,Neutral,0.971510351
"For instance, the effects of a leveling out of housing wealth on the saving rate were difficult to predict, but, in the view of some, potentially sizable.",Negative,0.983574629,", in the view of some, potentially sizable.",1,Neutral,0.99450475
"Though firms had been cautious about expanding their plant and equipment, business confidence was high, capacity utilization was tightening, and companies were continuing to look for investment opportunities that increased productivity.",Negative,0.901167333,"business confidence was high, capacity utilization was tightening, and companies were continuing to look for investment opportunities that increased productivity.",1,Positive,0.999889493
"Although high profit margins could imply some existing pricing power, they might also provide a cushion to absorb some future cost increases.",Positive,0.99988246,they might also provide a cushion to absorb some future cost increases.,1,Positive,0.980475724
"Although recent economic data had been uneven, the economy seemed to be expanding at a solid pace.",Positive,0.999999166,the economy seemed to be expanding at a solid pace.,1,Positive,1
"Although the stance of policy seemed close to where it needed to be given the current outlook, some further policy firming might be needed to keep inflation pressures contained and the risks to price stability and sustainable economic growth roughly in balance.",Negative,0.587153316,some further policy firming might be needed to keep inflation pressures contained and the risks to price stability and sustainable economic growth roughly in balance.,1,Negative,0.902043045
"Warm weather boosted housing construction in January and February, although sales of new homes dropped back and house prices decelerated slightly.",Positive,0.999540329,Warm weather boosted housing construction in January and February,1,Positive,0.999975562
Headline consumer price inflation jumped in January but moderated in February as energy prices moved down.,Negative,0.598202944,moderated in February as energy prices moved down.,1,Negative,0.981555879
"Although the average workweek edged down in February, the level of aggregate hours for production and nonsupervisory workers was above its average for the fourth quarter of 2005.",Neutral,0.877625525,the level of aggregate hours for production and nonsupervisory workers was above its average for the fourth quarter of 2005.,1,Neutral,0.956623852
"Although the level of single-family housing starts was unusually high in January and February, much of this strength was likely the result of mild winter weather; new permit issuance extended the downward trajectory that began in October.",Positive,0.996793926,much of this strength was likely the result of mild winter weather; new permit issuance extended the downward trajectory that began in October.,1,Positive,0.995528877
"House price appreciation appeared to have slowed from the rapid pace of the summer, but price increases for both new and existing homes remained well within the elevated range that has prevailed in recent years.",Negative,0.825943112,price increases for both new and existing homes remained well within the elevated range that has prevailed in recent years.,1,Positive,0.995629072
Real outlays for equipment and software decelerated in the fourth quarter of 2005 but appeared to have gained strength in early 2006.,Positive,0.999979496,appeared to have gained strength in early 2006.,1,Positive,0.999999881
"Although vacancy rates for nonresidential properties were well below the peaks reached in the first quarter of 2004, real spending on new construction had yet to gain traction.",Negative,0.714306533,real spending on new construction had yet to gain traction.,1,Neutral,0.90329206
"While prices of food and core items recorded only modest increases in February, energy prices fell back amid increases in oil inventories and unseasonably mild temperatures since the latter part of December.",Negative,0.999812901,energy prices fell back amid increases in oil inventories and unseasonably mild temperatures since the latter part of December.,1,Negative,0.999348104
"Higher energy prices still seemed to be passing through to the prices of a number of core intermediate materials, although such increases were more moderate than those observed in the immediate aftermath of the hurricanes last autumn.",Negative,0.809154809,Higher energy prices still seemed to be passing through to the prices of a number of core intermediate materials,1,Negative,0.793518662
"Preliminary survey measures of short-term inflation expectations in March edged up, but longer-term measures remained steady.",Positive,0.871355832,longer-term measures remained steady.,1,Positive,0.999971151
"In its accompanying statement, the Committee indicated that, although recent economic data had been uneven, the expansion in economic activity appeared solid.",Positive,0.999998927,"In its accompanying statement, the Committee indicated that, the expansion in economic activity appeared solid.",1,Positive,0.999999762
"In these circumstances, the Committee judged that some further policy firming may be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance but reiterated that it would respond to changes in economic prospects as needed to foster its objectives.",Neutral,0.998127162,reiterated that it would respond to changes in economic prospects as needed to foster its objectives.,1,Neutral,0.999930739
"While liquid deposits expanded moderately, small time deposits and retail money funds advanced strongly, supported by further increases in offering rates.",Positive,0.999994278,"small time deposits and retail money funds advanced strongly, supported by further increases in offering rates.",1,Positive,0.999998212
"The ongoing cooling in the housing market would act to restrain residential construction and growth in consumption, but business and household confidence and supportive financial conditions would help to foster growth in employment and incomes, keeping consumption and investment on a solid upward track.",Positive,0.99999404,business and household confidence and supportive financial conditions would help to foster growth in employment and incomes keeping consumption and investment on a solid upward track.,1,Positive,1
"Several meeting participants observed that, although the economy's sustainable potential output could not be observed directly or estimated with precision, historical patterns and recent data suggested that current levels of labor and product market resource utilization were in a zone consistent with little or no remaining economic slack.",Neutral,0.995202541,"Several meeting participants observed that, historical patterns and recent data suggested that current levels of labor and product market resource utilization were in a zone consistent with little or no remaining economic slack.",1,Neutral,0.977155447
"Merger and acquisition activity was strong and infusions of private equity continued at a rapid pace, but the domestic market for initial public offerings was reported to be quite weak.",Negative,0.977359354,the domestic market for initial public offerings was reported to be quite weak.,1,Negative,0.999999523
"Although rates on fixed-rate mortgages remained historically low, some ratcheting up of rates on adjustable-rate mortgages was seen as a factor weighing to some degree on the housing market.",Negative,0.809183061,some ratcheting up of rates on adjustable-rate mortgages was seen as a factor weighing to some degree on the housing market.,1,Negative,0.860893488
"In the housing market, for instance, some downshift from the rapid price increases and strong activity of recent years seemed to be underway, but the magnitude of the adjustment and its effects on household spending were hard to predict.",Negative,0.997499645,the magnitude of the adjustment and its effects on household spending were hard to predict.,1,Neutral,0.961662829
"Crude oil prices, though volatile, had not risen appreciably in recent months on balance, and a flattening in energy prices was beginning to damp headline inflation.",Negative,0.999155521,"Crude oil prices, had not risen appreciably in recent months on balance, and a flattening in energy prices was beginning to damp headline inflation.",1,Negative,0.999055207
"Moreover, actual and potential competition from abroad could be restraining cost and price pressures, though participants exchanged views on the extent to which conditions in foreign markets might be constraining prices domestically.",Negative,0.619954228,"Moreover, actual and potential competition from abroad could be restraining cost and price pressures",1,Negative,0.999768555
"In the end, they concurred that the statement should note that economic growth had rebounded in the current quarter but that it appeared likely to moderate to a more sustainable pace in coming quarters.",Positive,0.98521024,that it appeared likely to moderate to a more sustainable pace in coming quarters.,1,Neutral,0.629496098
"Policymakers agreed that the announcement should also highlight the favorable outlook for inflation and summarize their reasons for that assessment, but that it should reiterate that possible increases in resource utilization, along with elevated levels of commodity and energy prices, had the potential to add to inflation pressures.",Positive,0.999999762,"that it should reiterate that possible increases in resource utilization, along with elevated levels of commodity and energy prices had the potential to add to inflation pressures.",1,Negative,0.950420499
"While manufacturing growth for the first quarter as a whole slowed from the rapid pace of the fourth quarter, it exceeded that of the previous year.",Positive,0.945329368,it exceeded that of the previous year.,1,Positive,0.999999166
"While utility output surged in February and moved up a bit more in March, these increases only partly reversed the weather-related plunge in January.",Positive,0.951637983,these increases only partly reversed the weather-related plunge in January.,1,Negative,0.994030535
"Sales of light vehicles held steady in March and picked up a bit in April, bringing the average pace for the year well above that of the fourth quarter but about even with the rate of last year.",Positive,0.999891639,about even with the rate of last year.,1,Neutral,0.989468634
"Although continued improvements in the labor market had been generating considerable gains in nominal wage and salary income, rising gasoline prices held down the increase in real disposable personal income in March and were expected to damp it in April as well.",Positive,0.663552046,rising gasoline prices held down the increase in real disposable personal income in March and were expected to damp it in April as well.,1,Negative,0.999491811
Multifamily starts recovered a bit in March from their low rate in February but remained well within their historical range.,Positive,0.995110571,remained well within their historical range.,1,Positive,0.975873411
"Although sales of existing single-family homes edged up in February and March, the level of sales for the first quarter as a whole was notably below the record high in the second quarter of last year.",Negative,0.99999845,the level of sales for the first quarter as a whole was notably below the record high in the second quarter of last year.,1,Negative,0.999999762
"Sales of new homes also moved up in March, but their average in the first quarter was down substantially from the peak in the third quarter of last year.",Negative,0.999976873,their average in the first quarter was down substantially from the peak in the third quarter of last year.,1,Negative,0.999992132
"Although spending on nonresidential building construction remained well short of the robust levels seen in late 2000, growth of expenditures in this sector was at its fastest pace in the first quarter in nearly six years.",Positive,0.999425769,growth of expenditures in this sector was at its fastest pace in the first quarter in nearly six years.,1,Positive,0.999826968
"Although the price of natural gas had fallen because of continued plentiful inventories, retail gasoline prices surged, leading to a jump in overall energy prices for the month.",Positive,0.999994397,"retail gasoline prices surged, leading to a jump in overall energy prices for the month.",1,Positive,0.999999046
Economic growth had rebounded strongly in the first quarter but seemed likely to moderate to a more sustainable pace.,Positive,0.999999881,seemed likely to moderate to a more sustainable pace.,1,Neutral,0.635699809
"In these circumstances, the Committee judged that some further policy firming may be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance, but reiterated that in any event the Committee would respond to changes in economic prospects as needed to foster these objectives.",Neutral,0.99705565,reiterated that in any event the Committee would respond to changes in economic prospects as needed to foster these objectives.,1,Neutral,0.999572694
"Investors anticipated the FOMC's decision at its March meeting to raise the target federal funds rate 25 basis points, but the Committee's post-meeting statement evidently led them to mark up somewhat their expected path for the federal funds rate.",Neutral,0.995804727,the Committee's post-meeting statement evidently led them to mark up somewhat their expected path for the federal funds rate.,1,Neutral,0.999925971
"Yields on inflation-indexed Treasury securities moved up over the intermeeting period, but yields on nominal Treasury issues rose more.",Positive,0.926518857,yields on nominal Treasury issues rose more.,1,Positive,0.793643117
"While higher energy prices were expected to boost inflation in the near term, structural productivity was strong, and the influence of higher energy and material costs was thought likely to moderate.",Positive,1,"structural productivity was strong, and the influence of higher energy and material costs was thought likely to moderate.",1,Positive,1
"Although the expansion appeared likely to moderate, it evidently remained solid.",Positive,1,it evidently remained solid.,1,Positive,1
"Some reports indicated that speculative building of homes had dropped off considerably, but inventories of unsold homes still seemed to be expanding.",Negative,0.974776983,inventories of unsold homes still seemed to be expanding.,1,Positive,0.9127388
"Although fresh comprehensive data were not available, home prices on average appeared still to be rising, but at a slower pace than over the past few years.",Negative,0.861608386,at a slower pace than over the past few years.,1,Negative,0.798612356
But slower appreciation of home prices and the effects of the increases in energy prices and interest rates that had already occurred would likely act to restrain consumption spending somewhat.,Negative,0.999534726,slower appreciation of home prices and the effects of the increases in energy prices and interest rates that had already occurred would likely act to restrain consumption spending somewhat.,1,Negative,0.999234796
"While the precise reasons for the increase in federal receipts were not entirely clear, robust income growth was probably an important factor.",Positive,0.999978781,robust income growth was probably an important factor.,1,Positive,0.999999762
"Moreover, energy prices had risen steeply in the period since the March meeting, and, although pass-through apparently had been limited to date, the most recent increases might be reflected to a greater degree in core inflation in coming months.",Neutral,0.957725227,"Moreover, energy prices had risen steeply in the period since the March meeting, and, the most recent increases might be reflected to a greater degree in core inflation in coming months.",1,Neutral,0.971243858
"The recent decline in the dollar was another factor that could add to inflation pressures, although the effect of prior changes in the foreign exchange value of the dollar on core consumer prices had apparently been limited.",Negative,0.996614993,The recent decline in the dollar was another factor that could add to inflation pressures,1,Negative,0.99984169
"Although alternative measures of labor compensation provided divergent readings, growth of total compensation on balance appeared to remain moderate.",Negative,0.516013443,growth of total compensation on balance appeared to remain moderate.,1,Neutral,0.889688253
"While firms would seek to maintain those margins, recent experience suggested that this might be accomplished in part through further productivity gains, which had remained fairly strong on balance in recent quarters, rather than through more rapid price hikes.",Positive,0.999999762,"recent experience suggested that this might be accomplished in part through further productivity gains, which had remained fairly strong on balance in recent quarters, rather than through more rapid price hikes.",1,Positive,1
"Some surveys suggested that inflation expectations had risen in recent weeks, but others implied that expectations were little changed.",Neutral,0.991165817,others implied that expectations were little changed.,1,Neutral,0.778217137
"It was possible, though, that investors' uncertainty regarding inflation prospects, not just inflation expectations themselves, had risen.",Negative,0.998280525,"It was possible, that investors' uncertainty regarding inflation prospects, not just inflation expectations themselves, had risen.",1,Negative,0.999019623
"On balance, participants judged that inflation expectations had risen somewhat--a development that would have to be taken into account in policymaking and warranted close monitoring--but remained contained.",Neutral,0.995371759,remained contained.,1,Neutral,0.998062313
"Although the Committee discussed policy approaches ranging from leaving the stance of policy unchanged at this meeting to increasing the federal funds rate 50 basis points, all members believed that an additional 25 basis point firming of policy was appropriate today to keep inflation from rising and promote sustainable economic expansion.",Neutral,0.999000609,all members believed that an additional 25 basis point firming of policy was appropriate today to keep inflation from rising and promote sustainable economic expansion.,1,Neutral,0.665925086
"""The vote encompassed approval of the paragraph below for inclusion in the statement to be released shortly after the meeting:""The Committee judges that some further policy firming may yet be needed to address inflation risks but emphasizes that the extent and timing of any such firming will depend importantly on the evolution of the economic outlook as implied by incoming information.",Neutral,0.999969125,emphasizes that the extent and timing of any such firming will depend importantly on the evolution of the economic outlook as implied by incoming information.,1,Neutral,0.999828339
The slowing in hiring was most pronounced in retail trade but was also evident in construction and information services.,Negative,0.999992132,was also evident in construction and information services.,1,Negative,0.993309021
Average hours of production or nonsupervisory workers on private nonfarm payrolls edged up in April but reversed these gains in May.,Positive,0.945831001,reversed these gains in May.,1,Neutral,0.621563435
"For the year to date, manufacturing production advanced at a rate significantly below its rapid fourth-quarter growth rate but only a bit below its average pace of expansion since mid-2003.",Negative,0.999646783,only a bit below its average pace of expansion since mid-2003.,1,Negative,0.997734308
Utilities output also grew strongly in April but retreated in May as temperatures returned to normal after having been unseasonably warm in April.,Positive,0.999848843,retreated in May as temperatures returned to normal after having been unseasonably warm in April.,1,Neutral,0.99989748
Residential construction activity moderated over the past few months but remained at a historically high level.,Negative,0.904208422,remained at a historically high level.,1,Neutral,0.580005169
"Although a substantial portion of May's decline seemed to be a partial payback for the elevated level of starts early in the year, when weather conditions had been favorable, the underlying pace of single-family housing construction appeared to have slowed.",Negative,0.999976158,"when weather conditions had been favorable, the underlying pace of single-family housing construction appeared to have slowed.",1,Negative,0.999951601
"Sales of both new and existing single-family homes in April and May were significantly below their peaks of the summer of 2005, though new home sales continued to regain some ground after having fallen in February.",Negative,0.999991298,Sales of both new and existing single-family homes in April and May were significantly below their peaks of the summer of 2005,1,Negative,0.999999404
"The construction of nonresidential buildings picked up noticeably so far this year, although activity remained well short of its previous peak in mid-2000.",Negative,0.931255281,The construction of nonresidential buildings picked up noticeably so far this year,1,Positive,0.996562421
"Expansion of economic activity in the foreign industrial countries was solid in the first quarter, but indications for the second quarter were more mixed.",Positive,0.999628425,indications for the second quarter were more mixed.,1,Negative,0.976891577
"Incoming data pointed to a possible slowing in Canada, but signs of further expansion in the euro area and of continued growth in Japan were evident, notwithstanding sharp declines in equity indexes in these countries.",Positive,0.918135047,"signs of further expansion in the euro area and of continued growth in Japan were evident, notwithstanding sharp declines in equity indexes in these countries.",1,Positive,0.999982953
Core price inflation rose less than headline inflation in April and May but above its pace earlier in the year.,Neutral,0.543239594,above its pace earlier in the year.,1,Positive,0.977842629
"Readings on the growth of labor costs were revised down for the fourth quarter of 2005 and first quarter of 2006, but recent data suggested a pickup in the second quarter.",Positive,0.45861882,recent data suggested a pickup in the second quarter.,1,Positive,0.999994636
"In these circumstances, the Committee foresaw the possibility of a need for some further policy firming to address inflation risks but emphasized that the extent and timing of any such firming would depend importantly on the evolution of the economic outlook as implied by incoming information.",Neutral,0.999764144,emphasized that the extent and timing of any such firming would depend importantly on the evolution of the economic outlook as implied by incoming information.,1,Neutral,0.999882579
"Investors anticipated the FOMC's decision at its May meeting to raise the federal funds rate target 25 basis points, but near-term policy expectations edged up, apparently in response to the accompanying statement.",Neutral,0.761880457,"near-term policy expectations edged up, apparently in response to the accompanying statement.",1,Positive,0.997480333
"Yields on near-term nominal Treasury securities rose in line with policy expectations over the intermeeting period, but those on longer-dated securities moved up by smaller amounts.",Neutral,0.918352902,those on longer-dated securities moved up by smaller amounts.,1,Neutral,0.999291897
"Business sector debt advanced more slowly in the second quarter, although the expansion of business loans remained brisk and net issuance of corporate bonds was solid.",Positive,0.999999762,Business sector debt advanced more slowly in the second quarter,1,Positive,0.964174032
"Core consumer price inflation was projected to have stepped up in the second quarter from its average pace over the preceding several quarters but to then drop back somewhat, albeit to a level higher than previously forecasted, as energy and import prices flatten out and some slack emerges in labor and product markets.",Negative,0.933426321,"to then drop back somewhat, albeit to a level higher than previously forecasted, as energy and import prices flatten out and some slack emerges in labor and product markets.",1,Negative,0.999556243
Participants also observed that the evidence to date indicated that the slowdown was orderly but were mindful of the possibility of a sharper downturn in the sector.,Negative,0.995038688,were mindful of the possibility of a sharper downturn in the sector.,1,Negative,0.990475357
"In addition, some business contacts indicated a greater ability to pass higher costs on to customers, although other businesses continued to report that their pricing power remained limited.",Negative,0.99994719,"In addition, some business contacts indicated a greater ability to pass higher costs on to customers",1,Positive,0.999784052
"""Although the moderation in the growth of aggregate demand should help to limit inflation pressures over time, the Committee judges that some inflation risks remain.",Neutral,0.947330117,the Committee judges that some inflation risks remain.,1,Neutral,0.948330462
Core consumer price inflation eased somewhat but nonetheless remained higher than it was in 2005.,Positive,0.999829173,nonetheless remained higher than it was in 2005.,1,Positive,0.998597085
"The unemployment rate ticked back down to 4.7 percent in August, but it remained within the narrow band that prevailed since the beginning of the year.",Negative,0.894873261,it remained within the narrow band that prevailed since the beginning of the year.,1,Neutral,0.982931197
Industrial production rose in July but edged down in August.,Positive,0.91044569,edged down in August.,1,Negative,0.992799282
Spending on cars and light trucks increased somewhat in July after a lackluster pace in the second quarter but apparently weakened in August.,Negative,0.999990702,apparently weakened in August.,1,Negative,0.999936461
"Both imports and exports increased in the second quarter, but imports increased and exports decreased in July, widening the U.S. trade deficit.",Negative,0.902127326,"imports increased and exports decreased in July, widening the U.S. trade deficit.",1,Negative,0.940724075
"Exports of capital goods and industrial supplies declined after considerable gains in June, but exports of telecommunications equipment and automotive products were strong.",Positive,0.999999166,exports of telecommunications equipment and automotive products were strong.,1,Positive,1
Economic activity in the advanced foreign economies decelerated in the second quarter but remained strong.,Positive,0.996073604,remained strong.,1,Positive,1
"Recent economic indicators from the emerging-market economies generally pointed to robust, but moderating, growth.",Positive,0.999999046,moderating growth.,1,Negative,0.999794185
"After July, though, crude oil and gasoline prices dropped back significantly, and with inventories of natural gas remaining near seasonal highs, natural gas prices fell from their spike earlier this summer.",Negative,0.997718692,"After July, crude oil and gasoline prices dropped back significantly, and with inventories of natural gas remaining near seasonal highs, natural gas prices fell from their spike earlier this summer.",1,Negative,0.998282194
"Core consumer prices increased at a somewhat more subdued pace over July and August, but despite the recent moderation, the twelve-month change in core prices remained above the increase over the comparable period twelve months earlier.",Positive,0.903797984,"despite the recent moderation, the twelve-month change in core prices remained above the increase over the comparable period twelve months earlier.",1,Positive,0.895166576
"After more favorable readings in June and July, survey measures of households' inflation expectations turned back up in August, but preliminary September readings suggested a decline.",Negative,0.999956965,preliminary September readings suggested a decline.,1,Negative,0.9998281
"At the same time, though, significantly lower energy prices, sustained increases in labor income, and favorable labor market conditions were anticipated to support expansion through the end of the year.",Positive,1,"At the same time, significantly lower energy prices sustained increases in labor income, and favorable labor market conditions were anticipated to support expansion through the end of the year.",1,Positive,1
"Further ahead, the lagged effects of the previous tightening of monetary policy and waning stimulus from household wealth and fiscal policy were anticipated to restrain growth, but the drag from the downturn in residential construction was expected to abate.",Negative,0.999941468,the drag from the downturn in residential construction was expected to abate.,1,Negative,0.999926209
"Although most participants expected core inflation to decline gradually, substantial uncertainty attended this outlook.",Negative,0.994390428,substantial uncertainty attended this outlook.,1,Negative,0.999995589
"Although the situation varied somewhat across the nation, housing activity was continuing to contract in most regions.",Negative,0.968243062,housing activity was continuing to contract in most regions.,1,Negative,0.489692867
"Available measures of home prices suggested that appreciation had slowed considerably but prices in most areas were not falling, although some sellers were reported to be providing various inducements to potential purchasers that reduced effective prices.",Negative,0.687117875,"prices in most areas were not falling, although some sellers were reported to be providing various inducements to potential purchasers that reduced effective prices.",1,Neutral,0.945903897
"Although some survey evidence suggested that some firms were trimming capital spending plans, participants reported that their business contacts generally were quite positive about the economic outlook and the strength of demand for their products.",Positive,1,participants reported that their business contacts generally were quite positive about the economic outlook and the strength of demand for their products.,1,Positive,1
"Economic activity abroad appeared to be slowing a little from the unusually rapid rate of the first half of the year, but still expanding at a reasonably good pace overall.",Positive,0.999975443,still expanding at a reasonably good pace overall.,1,Positive,0.999998808
"Participants took note of the jump in labor compensation in the first half of the year, but commented that the increase likely reflected in part the exercise of stock options.",Neutral,0.987908065,commented that the increase likely reflected in part the exercise of stock options.,1,Neutral,0.999389172
"Looking forward, most participants thought that the most likely outcome was a reduction in inflation pressures, but the anticipated decline was only gradual and the uncertainties around that forecast were skewed toward higher rather than lower inflation rates.",Negative,0.526099384,the anticipated decline was only gradual and the uncertainties around that forecast were skewed toward higher rather than lower inflation rates.,1,Negative,0.987664878
"Although the uncertainties were substantial, core inflation seemed most likely to ebb gradually from its elevated level, in part owing to the waning effects of past increases in energy prices.",Negative,0.984458029,"core inflation seemed most likely to ebb gradually from its elevated level, in part owing to the waning effects of past increases in energy prices.",1,Negative,0.938668072
"Sharp declines in energy prices reduced total consumer price inflation in September, but the twelve-month change in core prices remained elevated relative to year-earlier readings.",Neutral,0.808640301,the twelve-month change in core prices remained elevated relative to year-earlier readings.,1,Neutral,0.997913539
"Although nominal retail sales fell noticeably in September, the steep drop in gasoline prices more than accounted for the decline.",Negative,0.999981403,the steep drop in gasoline prices more than accounted for the decline.,1,Negative,0.99657321
"But interest rates on some types of household loans, both short- and long-term, had risen this year, on balance.",Neutral,0.994081676,"interest rates on some types of household loans, both short- and long-term, had risen this year, on balance.",1,Neutral,0.997336328
